,variance,similarity,delta_mod,size,nodes_num,nb_communities,modularity
0,1.232595164407831e-32,1.0,0.0,70,17,4,0.4515235457063711
1,1.9721522630525295e-31,1.0,0.0,70,17,4,0.4515235457063711
2,4.565257936877697e-06,0.9958156713958048,0.01800554016620498,70,17,4,0.4695290858725761
3,5.187191626829122e-05,0.952456324265371,0.0,70,17,4,0.4695290858725761
4,3.0814879110195774e-33,1.0,0.0,70,17,4,0.4695290858725761
5,3.0814879110195774e-33,1.0,0.0,70,17,4,0.4695290858725761
6,3.0814879110195774e-33,1.0,0.0,70,17,4,0.4695290858725761
7,3.0814879110195774e-33,1.0,0.0,70,17,4,0.4695290858725761
8,3.0814879110195774e-33,1.0,0.0,70,17,4,0.4695290858725761
9,3.0814879110195774e-33,1.0,0.0,70,17,4,0.4695290858725761
10,3.0814879110195774e-33,1.0,0.0,70,17,4,0.4695290858725761
11,3.0814879110195774e-33,1.0,0.0,70,20,2,0.30174516794895845
12,2.7733391199176196e-32,1.0,0.0,70,20,2,0.30174516794895845
13,2.7733391199176196e-32,1.0,0.0,70,20,2,0.30174516794895845
14,2.7733391199176196e-32,1.0,0.0,70,20,2,0.30174516794895845
15,2.7733391199176196e-32,1.0,0.0,70,20,2,0.30174516794895845
16,2.7733391199176196e-32,1.0,0.0,70,20,2,0.30174516794895845
17,2.7733391199176196e-32,1.0,0.0,70,20,2,0.30174516794895845
18,2.7733391199176196e-32,1.0,0.0,70,20,2,0.30174516794895845
19,0.0,1.0,0.0,70,7,1,0.0
20,0.0,1.0,0.0,70,7,1,0.0
21,0.0,1.0,0.0,70,7,1,0.0
22,0.0,1.0,0.0,70,7,1,0.0
23,0.0,1.0,0.0,70,7,1,0.0
24,0.0,1.0,0.0,70,7,1,0.0
25,0.0,1.0,0.0,70,7,1,0.0
26,0.0,1.0,0.0,70,7,1,0.0
27,0.0,1.0,0.0,70,218,18,0.5892013888888892
28,4.437342591868191e-31,1.0,0.0,70,218,18,0.5892013888888892
29,4.437342591868191e-31,1.0,0.0,70,218,18,0.5892013888888892
30,4.437342591868191e-31,1.0,0.0,70,218,18,0.5892013888888892
31,4.437342591868191e-31,1.0,0.0,70,218,18,0.5892013888888892
32,4.437342591868191e-31,1.0,0.0,70,218,18,0.5892013888888892
33,4.437342591868191e-31,1.0,0.0,70,218,18,0.5892013888888892
34,4.437342591868191e-31,1.0,0.0,70,218,18,0.5892013888888892
35,1.232595164407831e-32,1.0,0.0,70,1593,34,0.7345747450445271
